id_performance,id_employe,date_evaluation,score,objectifs_atteints
1,1,2022-01-01,75,TRUE
2,1,2022-04-01,60,FALSE
3,1,2022-07-01,51,TRUE
4,1,2022-10-01,57,TRUE
5,1,2023-01-01,60,TRUE
6,1,2023-04-01,67,TRUE
7,1,2023-07-01,99,FALSE
8,1,2023-10-01,59,TRUE
9,1,2024-01-01,58,TRUE
10,1,2024-04-01,60,TRUE
11,1,2024-07-01,93,FALSE
12,1,2024-10-01,52,TRUE
13,2,2022-01-01,88,FALSE
14,2,2022-04-01,77,TRUE
15,2,2022-07-01,88,TRUE
16,2,2022-10-01,70,FALSE
17,2,2023-01-01,92,TRUE
18,2,2023-04-01,68,FALSE
19,2,2023-07-01,71,TRUE
20,2,2023-10-01,93,FALSE
21,2,2024-01-01,99,TRUE
22,2,2024-04-01,62,TRUE
23,2,2024-07-01,53,FALSE
24,2,2024-10-01,63,FALSE
25,3,2022-01-01,58,TRUE
26,3,2022-04-01,84,TRUE
27,3,2022-07-01,70,FALSE
28,3,2022-10-01,67,TRUE
29,3,2023-01-01,57,TRUE
30,3,2023-04-01,98,FALSE
31,3,2023-07-01,66,TRUE
32,3,2023-10-01,80,FALSE
33,3,2024-01-01,55,FALSE
34,3,2024-04-01,63,TRUE
35,3,2024-07-01,61,FALSE
36,3,2024-10-01,61,TRUE
37,4,2022-01-01,51,FALSE
38,4,2022-04-01,64,TRUE
39,4,2022-07-01,78,TRUE
40,4,2022-10-01,81,TRUE
41,4,2023-01-01,79,FALSE
42,4,2023-04-01,63,FALSE
43,4,2023-07-01,79,TRUE
44,4,2023-10-01,81,FALSE
45,4,2024-01-01,55,TRUE
46,4,2024-04-01,73,FALSE
47,4,2024-07-01,76,FALSE
48,4,2024-10-01,73,TRUE
49,5,2022-01-01,73,FALSE
50,5,2022-04-01,83,FALSE
51,5,2022-07-01,96,TRUE
52,5,2022-10-01,60,FALSE
53,5,2023-01-01,73,TRUE
54,5,2023-04-01,67,FALSE
55,5,2023-07-01,61,TRUE
56,5,2023-10-01,92,FALSE
57,5,2024-01-01,89,FALSE
58,5,2024-04-01,56,TRUE
59,5,2024-07-01,70,FALSE
60,5,2024-10-01,60,FALSE
